fourth,4
circle,4
greededit,1
gustave,1
dorés,1
illustrations,1
weights,3
huge,1
money,1
bags,1
canto,2
vii,2
guarded,1
figure,2
dante,4
names,1
pluto,2
plutus,1
deity,1
wealth,1
classical,2
mythology,1
although,1
conflated,1
distinct,1
dis,1
ruler,1
underworldnb,1
,2
menaces,1
virgil,4
cryptic,1
phrase,1
pape,2
satàn,2
aleppe,1
protects,1
whose,1
attitude,1
toward,1
material,1
goods,2
deviated,1
appropriate,1
punished,1
include,1
avaricious,1
miserly,1
including,1
clergymen,1
popes,1
cardinals,1
hoarded,1
possessions,1
prodigal,1
squandered,1
hoarders,1
spendthrifts,1
joust,1
using,1
weapons,1
push,1
chests,2
nation,3
lost,2
souls,1
above,1
strained,1
against,1
enormous,1
mad,1
howls,1
rolled,2
another,1
haste,1
party,1
shouting,1
hoard,1
waste,1
relating,1
sin,1
incontinence,1
preceded,1
lust,1
gluttony,1
dorothy,1
l,1
sayers,1
writes,1
mutual,2
indulgence,1
already,1
declined,1
into,2
selfish,2
appetite,2
becomes,2
aware,1
incompatible,1
equally,1
appetites,1
indifference,1
antagonism,2
imaged,1
hoarding,1
squandering,1
contrast,1
groups,2
leads,1
discourse,1
nature,1
fortune,1
raises,1
nations,1
greatness,1
later,1
plunges,1
poverty,1
shifts,1
empty,1
unto,1
clan,2
speech,1
fills,1
otherwise,1
gap,1
poem,1
since,1
absorbed,1
activity,1
tells,1
pointless,1
speak,1
indeed,1
individuality,1
rendered,1
unrecognizable,1
