sixth,2
circle,4
heresyedit,1
canto,3
x,1
heretics,1
epicurus,1
followers,1
soul,1
dies,1
body,1
trapped,1
flaming,1
tombs,3
dante,5
holds,1
discourse,1
pair,1
epicurian,1
florentines,1
farinata,4
degli,2
uberti,1
famous,1
ghibelline,1
leader,1
following,1
battle,1
montaperti,1
september,1
,8
strongly,1
protested,1
proposed,1
destruction,1
florence,1
meeting,1
victorious,1
ghibellines,1
died,1
posthumously,1
condemned,1
heresy,1
cavalcante,1
de,2
cavalcanti,2
guelph,1
dantes,1
fellow,1
poet,1
guido,1
political,1
affiliation,1
allows,1
further,1
discussion,1
florentine,1
politics,1
response,1
question,1
prophecy,1
received,1
explains,3
souls,1
hell,2
comes,1
seeing,1
future,2
observation,1
present,1
consequently,1
portal,1
shut,1
longer,1
possible,1
anything,1
crammed,1
within,1
tomb,1
emperor,2
frederick,1
ii,2
commonly,1
reputed,1
epicurean,1
ottaviano,1
ubaldini,1
whom,1
refers,2
il,1
cardinale,1
xi,1
reads,1
inscription,1
indicating,1
belongs,1
pope,2
anastasius,3
although,1
modern,1
scholars,1
hold,1
erred,1
verse,1
mentioning,1
anastasio,1
papa,1
guardo,1
lo,1
qual,1
trasse,1
fotin,1
la,1
via,1
dritta,1
lines,1
confusing,1
byzantine,1
pausing,1
moment,1
steep,1
descent,1
foulsmelling,1
seventh,1
virgil,4
geography,1
rationale,1
lower,1
sins,1
violence,2
bestiality,1
fraud,1
malice,1
punished,2
explanation,1
nicomachean,1
ethics,1
physics,1
aristotle,1
medieval,1
interpretations,1
asserts,1
legitimate,1
sources,1
wealth,1
natural,1
resources,1
nature,3
human,1
labor,1
activity,1
art,2
usury,1
therefore,1
offence,1
against,2
blasphemy,1
since,2
child,1
derives,1
god,1
indicates,1
unexplained,1
awareness,1
stars,1
positions,1
wain,1
bear,1
lies,1
northwest,2
caurus,1
wind,1
constellation,1
pisces,1
appearing,1
horizon,1
zodiacal,1
sign,1
preceding,1
aries,2
ram,1
notes,1
twelve,1
zodiac,1
signs,1
rise,1
twohour,1
intervals,1
hours,1
prior,1
sunrise,1
am,1
holy,1
saturday,1
april,1
